task,joint,fault_type,b1_score,baseline_no_fault,delta
alphabet_soup,robot0_joint1,locked,0.0,0.8,-0.8
alphabet_soup,robot0_joint2,locked,0.0,0.8,-0.8
alphabet_soup,robot0_joint3,locked,0.0,0.8,-0.8
alphabet_soup,robot0_joint4,locked,0.0,0.8,-0.8
alphabet_soup,robot0_joint5,locked,0.25,0.8,-0.55
alphabet_soup,robot0_joint6,locked,0.0,0.8,-0.8
alphabet_soup,robot0_joint7,locked,0.0,0.8,-0.8
bowl_ramekin,robot0_joint1,locked,0.0,0.72,-0.72
bowl_ramekin,robot0_joint2,locked,0.0,0.72,-0.72
bowl_ramekin,robot0_joint3,locked,0.05,0.72,-0.67
bowl_ramekin,robot0_joint4,locked,0.0,0.72,-0.72
bowl_ramekin,robot0_joint5,locked,0.7,0.72,-0.02
bowl_ramekin,robot0_joint6,locked,0.15,0.72,-0.57
bowl_ramekin,robot0_joint7,locked,0.3,0.72,-0.42
milk,robot0_joint1,locked,0.0,0.94,-0.94
milk,robot0_joint2,locked,0.0,0.94,-0.94
milk,robot0_joint3,locked,0.0,0.94,-0.94
milk,robot0_joint4,locked,0.0,0.94,-0.94
milk,robot0_joint5,locked,0.6,0.94,-0.34
milk,robot0_joint6,locked,0.0,0.94,-0.94
milk,robot0_joint7,locked,0.2,0.94,-0.74
