task,joint,fault_type,n_select,b1_score,select_score,delta,baseline_no_fault
alphabet_soup,robot0_joint1,locked,32,0.0,0.0,0.0,0.8
alphabet_soup,robot0_joint2,locked,32,0.0,0.0,0.0,0.8
alphabet_soup,robot0_joint3,locked,32,0.0,0.0,0.0,0.8
alphabet_soup,robot0_joint4,locked,32,0.0,0.0,0.0,0.8
alphabet_soup,robot0_joint5,locked,32,0.25,0.7,0.45,0.8
alphabet_soup,robot0_joint6,locked,32,0.0,0.0,0.0,0.8
alphabet_soup,robot0_joint7,locked,32,0.0,0.0,0.0,0.8
bowl_ramekin,robot0_joint1,locked,32,0.0,0.0,0.0,0.72
bowl_ramekin,robot0_joint2,locked,32,0.0,0.0,0.0,0.72
bowl_ramekin,robot0_joint3,locked,32,0.05,0.05,0.0,0.72
bowl_ramekin,robot0_joint4,locked,32,0.0,0.0,0.0,0.72
bowl_ramekin,robot0_joint5,locked,32,0.7,0.7,0.0,0.72
bowl_ramekin,robot0_joint6,locked,32,0.15,0.45,0.3,0.72
bowl_ramekin,robot0_joint7,locked,32,0.3,0.4,0.1,0.72
milk,robot0_joint1,locked,32,0.0,0.0,0.0,0.94
milk,robot0_joint2,locked,32,0.0,0.0,0.0,0.94
milk,robot0_joint3,locked,32,0.0,0.0,0.0,0.94
milk,robot0_joint4,locked,32,0.0,0.0,0.0,0.94
milk,robot0_joint5,locked,32,0.6,1.0,0.4,0.94
milk,robot0_joint6,locked,32,0.0,0.0,0.0,0.94
milk,robot0_joint7,locked,32,0.2,0.3,0.1,0.94
