task,arm,joint,fault_type,severity,success,total,rate,logfile
grab_roller,left,fl_joint2,locked,,0,20,0.0,/tmp/sweep_grab_roller_left_fl_joint2_locked_na.log
grab_roller,left,fl_joint2,range_reduced,0.25,6,20,30.0,/tmp/sweep_grab_roller_left_fl_joint2_range_reduced_0.25.log
grab_roller,left,fl_joint2,range_reduced,0.5,6,20,30.0,/tmp/sweep_grab_roller_left_fl_joint2_range_reduced_0.5.log
grab_roller,left,fl_joint2,range_reduced,0.75,6,20,30.0,/tmp/sweep_grab_roller_left_fl_joint2_range_reduced_0.75.log
grab_roller,left,fl_joint3,locked,,10,20,50.0,/tmp/sweep_grab_roller_left_fl_joint3_locked_na.log
grab_roller,left,fl_joint3,range_reduced,0.25,7,20,35.0,/tmp/sweep_grab_roller_left_fl_joint3_range_reduced_0.25.log
grab_roller,left,fl_joint3,range_reduced,0.5,10,20,50.0,/tmp/sweep_grab_roller_left_fl_joint3_range_reduced_0.5.log
grab_roller,left,fl_joint3,range_reduced,0.75,11,20,55.0,/tmp/sweep_grab_roller_left_fl_joint3_range_reduced_0.75.log
grab_roller,left,fl_joint4,locked,,0,20,0.0,/tmp/sweep_grab_roller_left_fl_joint4_locked_na.log
grab_roller,left,fl_joint4,range_reduced,0.25,8,20,40.0,/tmp/sweep_grab_roller_left_fl_joint4_range_reduced_0.25.log
grab_roller,left,fl_joint4,range_reduced,0.5,16,20,80.0,/tmp/sweep_grab_roller_left_fl_joint4_range_reduced_0.5.log
grab_roller,left,fl_joint4,range_reduced,0.75,14,20,70.0,/tmp/sweep_grab_roller_left_fl_joint4_range_reduced_0.75.log
grab_roller,left,fl_joint5,locked,,15,20,75.0,/tmp/sweep_grab_roller_left_fl_joint5_locked_na.log
grab_roller,left,fl_joint5,range_reduced,0.25,12,20,60.0,/tmp/sweep_grab_roller_left_fl_joint5_range_reduced_0.25.log
grab_roller,left,fl_joint5,range_reduced,0.5,14,20,70.0,/tmp/sweep_grab_roller_left_fl_joint5_range_reduced_0.5.log
grab_roller,left,fl_joint5,range_reduced,0.75,17,20,85.0,/tmp/sweep_grab_roller_left_fl_joint5_range_reduced_0.75.log
grab_roller,left,fl_joint6,locked,,0,20,0.0,/tmp/sweep_grab_roller_left_fl_joint6_locked_na.log
grab_roller,left,fl_joint6,range_reduced,0.25,8,20,40.0,/tmp/sweep_grab_roller_left_fl_joint6_range_reduced_0.25.log
grab_roller,left,fl_joint6,range_reduced,0.5,15,20,75.0,/tmp/sweep_grab_roller_left_fl_joint6_range_reduced_0.5.log
grab_roller,left,fl_joint6,range_reduced,0.75,15,20,75.0,/tmp/sweep_grab_roller_left_fl_joint6_range_reduced_0.75.log
grab_roller,right,fr_joint2,locked,,0,20,0.0,/tmp/sweep_grab_roller_right_fr_joint2_locked_na.log
