task,arm,joint,fault_type,sampling_mode,seed,worker,success
grab_roller,left,fl_joint4,locked,b1,100001,1,False
grab_roller,left,fl_joint4,locked,b1,100000,0,False
grab_roller,left,fl_joint4,locked,b1,100003,0,False
grab_roller,left,fl_joint4,locked,b1,100002,1,False
grab_roller,left,fl_joint4,locked,b1,100004,0,False
grab_roller,left,fl_joint4,locked,b1,100006,1,False
grab_roller,left,fl_joint4,locked,b1,100007,0,False
grab_roller,left,fl_joint4,locked,b1,100008,1,False
grab_roller,left,fl_joint4,locked,b1,100009,0,False
grab_roller,left,fl_joint4,locked,b1,100010,1,False
grab_roller,left,fl_joint4,locked,b1,100011,0,False
grab_roller,left,fl_joint4,locked,b1,100012,1,False
grab_roller,left,fl_joint4,locked,b1,100013,0,False
grab_roller,left,fl_joint4,locked,b1,100014,1,False
grab_roller,left,fl_joint4,locked,b1,100015,0,False
grab_roller,left,fl_joint4,locked,b1,100016,1,False
grab_roller,left,fl_joint4,locked,b1,100017,0,False
grab_roller,left,fl_joint4,locked,b1,100018,1,False
grab_roller,left,fl_joint4,locked,b1,100019,0,False
grab_roller,left,fl_joint4,locked,b1,100020,1,False
grab_roller,left,fl_joint4,locked,b1,100021,0,False
grab_roller,left,fl_joint4,locked,b1,100022,1,False
grab_roller,left,fl_joint4,locked,b1,100024,0,False
grab_roller,left,fl_joint4,locked,b1,100025,1,False
grab_roller,left,fl_joint4,locked,b1,100026,0,False
grab_roller,left,fl_joint4,locked,b1,100027,1,False
grab_roller,left,fl_joint4,locked,b1,100028,0,False
grab_roller,left,fl_joint4,locked,b1,100029,1,False
grab_roller,left,fl_joint4,locked,b1,100030,0,False
grab_roller,left,fl_joint4,locked,b1,100031,1,False
grab_roller,left,fl_joint4,locked,b1,100032,0,False
grab_roller,left,fl_joint4,locked,b1,100033,1,False
grab_roller,left,fl_joint4,locked,b1,100034,0,False
grab_roller,left,fl_joint4,locked,b1,100035,1,False
