task,arm,joint,fault_type,sampling_mode,success,total,rate
grab_roller,left,fl_joint4,locked,b1,0,50,0.0
grab_roller,left,fl_joint4,locked,posthoc,0,50,0.0
grab_roller,left,fl_joint4,locked,eci,0,50,0.0
grab_roller,right,fr_joint3,locked,b1,27,50,54.0
grab_roller,right,fr_joint3,locked,posthoc,28,50,56.0
grab_roller,right,fr_joint3,locked,eci,18,50,36.0
grab_roller,left,fl_joint5,locked,b1,45,50,90.0
grab_roller,left,fl_joint5,locked,posthoc,45,50,90.0
grab_roller,left,fl_joint5,locked,eci,44,50,88.0
adjust_bottle,left,fl_joint3,locked,b1,25,50,50.0
adjust_bottle,left,fl_joint3,locked,posthoc,25,50,50.0
adjust_bottle,left,fl_joint3,locked,eci,25,50,50.0
adjust_bottle,left,fl_joint6,locked,b1,39,50,78.0
adjust_bottle,left,fl_joint6,locked,posthoc,32,50,64.0
adjust_bottle,left,fl_joint6,locked,eci,34,50,68.0
adjust_bottle,right,fr_joint5,locked,b1,45,50,90.0
adjust_bottle,right,fr_joint5,locked,posthoc,46,50,92.0
adjust_bottle,right,fr_joint5,locked,eci,45,50,90.0
handover_mic,right,fr_joint3,locked,b1,0,50,0.0
handover_mic,right,fr_joint3,locked,posthoc,0,50,0.0
handover_mic,right,fr_joint3,locked,eci,0,50,0.0
handover_mic,right,fr_joint6,locked,b1,21,50,42.0
handover_mic,right,fr_joint6,locked,posthoc,20,50,40.0
