task,arm,joint,fault_type,sampling_mode,success,total,rate
grab_roller,left,fl_joint4,locked,b1,0,50,0.0
grab_roller,left,fl_joint4,locked,posthoc,0,50,0.0
grab_roller,left,fl_joint4,locked,eci,0,50,0.0
grab_roller,right,fr_joint3,locked,b1,17,50,34.0
grab_roller,right,fr_joint3,locked,posthoc,20,50,40.0
grab_roller,right,fr_joint3,locked,eci,11,50,22.0
grab_roller,left,fl_joint5,locked,b1,27,50,54.0
grab_roller,left,fl_joint5,locked,posthoc,39,50,78.0
grab_roller,left,fl_joint5,locked,eci,39,50,78.0
adjust_bottle,left,fl_joint3,locked,b1,4,50,8.0
adjust_bottle,left,fl_joint3,locked,posthoc,2,50,4.0
adjust_bottle,left,fl_joint3,locked,eci,5,50,10.0
adjust_bottle,left,fl_joint6,locked,b1,8,50,16.0
adjust_bottle,left,fl_joint6,locked,posthoc,10,50,20.0
adjust_bottle,left,fl_joint6,locked,eci,6,50,12.0
adjust_bottle,right,fr_joint5,locked,b1,15,50,30.0
adjust_bottle,right,fr_joint5,locked,posthoc,10,50,20.0
adjust_bottle,right,fr_joint5,locked,eci,28,50,56.0
handover_mic,right,fr_joint3,locked,b1,0,50,0.0
handover_mic,right,fr_joint3,locked,posthoc,0,50,0.0
handover_mic,right,fr_joint3,locked,eci,0,50,0.0
handover_mic,right,fr_joint6,locked,b1,4,50,8.0
handover_mic,right,fr_joint6,locked,posthoc,12,50,24.0
handover_mic,right,fr_joint6,locked,eci,1,50,2.0
