task,arm,joint,fault_type,sampling_mode,success,total,rate
grab_roller,left,fl_joint4,locked,b1,0,50,0.0
grab_roller,left,fl_joint4,locked,posthoc,0,50,0.0
grab_roller,left,fl_joint4,locked,eci,0,50,0.0
grab_roller,right,fr_joint3,locked,b1,17,50,34.0
grab_roller,right,fr_joint3,locked,posthoc,23,50,46.0
grab_roller,right,fr_joint3,locked,eci,9,50,18.0
grab_roller,left,fl_joint5,locked,b1,40,50,80.0
grab_roller,left,fl_joint5,locked,posthoc,36,50,72.0
grab_roller,left,fl_joint5,locked,eci,41,50,82.0
adjust_bottle,left,fl_joint3,locked,b1,9,50,18.0
adjust_bottle,left,fl_joint3,locked,posthoc,4,50,8.0
adjust_bottle,left,fl_joint3,locked,eci,3,50,6.0
adjust_bottle,left,fl_joint6,locked,b1,8,50,16.0
adjust_bottle,left,fl_joint6,locked,posthoc,6,50,12.0
adjust_bottle,left,fl_joint6,locked,eci,13,50,26.0
adjust_bottle,right,fr_joint5,locked,b1,17,50,34.0
adjust_bottle,right,fr_joint5,locked,posthoc,19,50,38.0
adjust_bottle,right,fr_joint5,locked,eci,14,50,28.0
handover_mic,right,fr_joint3,locked,b1,0,50,0.0
handover_mic,right,fr_joint3,locked,posthoc,0,50,0.0
handover_mic,right,fr_joint3,locked,eci,0,50,0.0
